Wilkes,"42,864"
Wilkinson,"40,069"
Worth,"38,024"
,
,
Hawaii,"47,068"
Honolulu,"60,114"
Kauai,"53,608"
Maui + Kalawao,"53,586"
,
,
Ada,"58,976"
Adams,"42,496"
Bannock,"42,596"
Bear Lake,"43,776"
Benewah,"42,238"
Bingham,"41,008"
Blaine,"127,990"
Boise,"50,581"
Bonner,"47,782"
Bonneville,"55,037"
Boundary,"41,509"
Butte,"49,413"
Camas,"59,629"
Canyon,"39,017"
Caribou,"47,824"
Cassia,"48,220"
Clark,"48,687"
Clearwater,"39,465"
Custer,"47,771"
Elmore,"39,343"
Franklin,"40,038"
Fremont,"40,827"
Gem,"42,252"
Gooding,"63,489"
Idaho,"39,404"
Jefferson,"39,949"
Jerome,"41,646"
Kootenai,"51,109"
Latah,"47,859"
Lemhi,"48,508"
Lewis,"59,260"
Lincoln,"42,555"
Madison,"24,244"
Minidoka,"43,848"
Nez Perce,"48,279"
Oneida,"42,200"
Owyhee,"41,985"
Payette,"43,076"
Power,"44,237"
Shoshone,"41,787"
Teton,"47,705"
Twin Falls,"43,429"
Valley,"55,295"
Washington,"40,441"
,
,
Adams,"51,072"
Alexander,"47,088"
Bond,"40,863"
Boone,"50,785"
Brown,"42,396"
Bureau,"45,938"
Calhoun,"49,809"
Carroll,"45,742"
Cass,"44,095"
Champaign,"50,839"
Christian,"44,393"
Clark,"45,708"
Clay,"43,835"
Clinton,"52,677"
Coles,"49,333"
Cook,"67,558"
Crawford,"49,604"
Cumberland,"78,347"
DeKalb,"47,312"
De Witt,"52,177"
Douglas,"54,821"
DuPage,"79,901"
Edgar,"48,317"
Edwards,"46,220"
Effingham,"55,724"
Fayette,"40,215"
Ford,"56,396"
Franklin,"42,023"
Fulton,"42,623"
Gallatin,"45,909"
Greene,"44,275"
Grundy,"59,913"
Hamilton,"48,156"
Hancock,"50,006"
Hardin,"43,237"
Henderson,"47,473"
Henry,"50,273"
Iroquois,"50,377"
Jackson,"43,023"
Jasper,"48,543"
Jefferson,"44,355"
Jersey,"47,107"
Jo Daviess,"52,229"
Johnson,"37,515"
Kane,"58,186"
Kankakee,"47,846"
Kendall,"53,941"
Knox,"43,913"
Lake,"83,141"
LaSalle,"48,460"
Lawrence,"35,950"
Lee,"46,704"
Livingston,"52,002"
Logan,"42,169"
McDonough,"44,477"
McHenry,"59,737"
McLean,"55,203"
Macon,"51,804"
Macoupin,"45,687"
Madison,"51,846"
Marion,"46,572"
Marshall,"49,305"
Mason,"47,241"
Massac,"42,411"
Menard,"50,478"
Mercer,"51,623"
Monroe,"61,273"
Montgomery,"39,594"
Morgan,"45,084"
Moultrie,"69,993"
Ogle,"48,779"
Peoria,"54,337"
Perry,"41,138"
Piatt,"57,821"
Pike,"49,038"
Pope,"37,027"
Pulaski,"43,077"
Putnam,"66,005"
Randolph,"43,472"
Richland,"45,501"
Rock Island,"47,999"
St. Clair,"50,387"
Saline,"43,234"
Sangamon,"53,056"
Schuyler,"48,279"
Scott,"46,038"
Shelby,"46,683"
Stark,"48,612"
Stephenson,"46,579"
Tazewell,"52,046"
Union,"46,260"
Vermilion,"44,975"
Wabash,"47,397"
Warren,"46,032"
Washington,"53,581"
Wayne,"43,465"
White,"50,024"
Whiteside,"48,391"
Will,"57,813"
Williamson,"48,962"
