CTYNAME,YEAR,MEDIAN_AGE_TOT
Lake and Peninsula Borough,3,34.8
Lake and Peninsula Borough,4,35.2
Matanuska-Susitna Borough,1,36.2
Matanuska-Susitna Borough,2,36.3
Matanuska-Susitna Borough,3,36.3
Matanuska-Susitna Borough,4,36.6
Nome Census Area,1,28.6
Nome Census Area,2,28.7
Nome Census Area,3,29.1
Nome Census Area,4,29.1
North Slope Borough,1,34.9
North Slope Borough,2,35.0
North Slope Borough,3,35.2
North Slope Borough,4,35.6
Northwest Arctic Borough,1,27.6
Northwest Arctic Borough,2,27.7
Northwest Arctic Borough,3,27.8
Northwest Arctic Borough,4,27.8
Petersburg Borough,1,41.9
Petersburg Borough,2,41.8
Petersburg Borough,3,42.4
Petersburg Borough,4,42.9
Prince of Wales-Hyder Census Area,1,42.6
Prince of Wales-Hyder Census Area,2,42.8
Prince of Wales-Hyder Census Area,3,43.7
Prince of Wales-Hyder Census Area,4,43.7
Sitka City and Borough,1,40.1
Sitka City and Borough,2,40.3
Sitka City and Borough,3,40.5
Sitka City and Borough,4,40.6
Skagway Municipality,1,40.9
Skagway Municipality,2,40.9
Skagway Municipality,3,42.3
Skagway Municipality,4,43.5
Southeast Fairbanks Census Area,1,38.2
Southeast Fairbanks Census Area,2,38.1
Southeast Fairbanks Census Area,3,37.3
Southeast Fairbanks Census Area,4,37.5
Wrangell City and Borough,1,49.2
Wrangell City and Borough,2,49.0
Wrangell City and Borough,3,49.6
Wrangell City and Borough,4,50.2
Yakutat City and Borough,1,43.8
Yakutat City and Borough,2,43.8
Yakutat City and Borough,3,43.4
Yakutat City and Borough,4,44.0
Yukon-Koyukuk Census Area,1,36.1
Yukon-Koyukuk Census Area,2,36.3
Yukon-Koyukuk Census Area,3,36.5
Yukon-Koyukuk Census Area,4,36.8
Apache County,1,35.7
Apache County,2,35.8
Apache County,3,36.1
Apache County,4,36.3
Cochise County,1,41.5
Cochise County,2,41.6
Cochise County,3,41.9
Cochise County,4,42.3
Coconino County,1,31.6
Coconino County,2,31.7
Coconino County,3,32.6
Coconino County,4,32.7
Gila County,1,50.6
Gila County,2,50.7
Gila County,3,51.1
Gila County,4,51.2
Graham County,1,33.8
Graham County,2,33.9
Graham County,3,34.2
Graham County,4,34.1
Greenlee County,1,34.7
Greenlee County,2,34.8
Greenlee County,3,34.8
Greenlee County,4,35.4
La Paz County,1,57.9
La Paz County,2,58.1
La Paz County,3,58.1
La Paz County,4,58.5
Maricopa County,1,37.1
Maricopa County,2,37.2
Maricopa County,3,37.4
Maricopa County,4,37.5
Mohave County,1,53.1
Mohave County,2,53.1
Mohave County,3,53.3
Mohave County,4,53.3
Navajo County,1,38.4
Navajo County,2,38.5
Navajo County,3,38.8
Navajo County,4,39.1
Pima County,1,39.0
Pima County,2,39.1
Pima County,3,39.4
Pima County,4,39.5
Pinal County,1,40.1
Pinal County,2,40.2
Pinal County,3,40.1
Pinal County,4,40.1
Santa Cruz County,1,37.5
Santa Cruz County,2,37.6
Santa Cruz County,3,37.7
Santa Cruz County,4,37.7
Yavapai County,1,54.6
Yavapai County,2,54.8
Yavapai County,3,55.0
Yavapai County,4,55.1
Yuma County,1,35.2
Yuma County,2,35.3
Yuma County,3,35.5
Yuma County,4,35.8
Arkansas County,1,42.2
Arkansas County,2,42.2
Arkansas County,3,42.5
Arkansas County,4,42.5
Ashley County,1,43.4
Ashley County,2,43.5
Ashley County,3,43.5
Ashley County,4,43.8
Baxter County,1,51.8
Baxter County,2,51.8
Baxter County,3,51.6
Baxter County,4,51.5
Benton County,1,35.7
Benton County,2,35.7
Benton County,3,35.8
Benton County,4,36.0
Boone County,1,42.2
Boone County,2,42.2
Boone County,3,42.0
Boone County,4,41.9
Bradley County,1,40.5
Bradley County,2,40.5
Bradley County,3,40.7
Bradley County,4,40.7
Calhoun County,1,45.6
Calhoun County,2,45.5
Calhoun County,3,45.3
Calhoun County,4,45.4
Carroll County,1,44.7
Carroll County,2,44.7
Carroll County,3,44.5
Carroll County,4,44.4
Chicot County,1,43.5
Chicot County,2,43.7
Chicot County,3,43.3
Chicot County,4,43.5
Clark County,1,32.4
Clark County,2,32.4
Clark County,3,32.3
Clark County,4,32.1
Clay County,1,43.7
Clay County,2,43.7
Clay County,3,43.4
Clay County,4,43.1
Cleburne County,1,49.3
Cleburne County,2,49.4
Cleburne County,3,49.2
Cleburne County,4,49.5
Cleveland County,1,44.1
Cleveland County,2,44.0
Cleveland County,3,44.1
Cleveland County,4,44.0
Columbia County,1,35.5
Columbia County,2,35.5
Columbia County,3,35.4
Columbia County,4,35.2
Conway County,1,42.2
Conway County,2,42.3
Conway County,3,42.2
Conway County,4,42.2
Craighead County,1,34.2
Craighead County,2,34.2
Craighead County,3,34.4
Craighead County,4,34.6
Crawford County,1,39.7
Crawford County,2,39.7
Crawford County,3,39.8
Crawford County,4,39.6
Crittenden County,1,35.7
Crittenden County,2,35.7
Crittenden County,3,35.8
Crittenden County,4,35.9
Cross County,1,40.7
Cross County,2,40.8
Cross County,3,40.8
Cross County,4,40.9
Dallas County,1,46.7
Dallas County,2,46.8
Dallas County,3,46.7
Dallas County,4,46.6
Desha County,1,39.7
Desha County,2,39.8
Desha County,3,40.4
Desha County,4,40.4
Drew County,1,37.5
Drew County,2,37.5
Drew County,3,37.6
Drew County,4,37.7
Faulkner County,1,33.7
Faulkner County,2,33.8
Faulkner County,3,33.8
Faulkner County,4,34.0
Franklin County,1,42.1
Franklin County,2,42.0
Franklin County,3,41.9
Franklin County,4,42.2
Fulton County,1,48.1
Fulton County,2,48.2
Fulton County,3,47.6
Fulton County,4,47.1
Garland County,1,45.4
Garland County,2,45.4
Garland County,3,45.6
Garland County,4,45.8
Grant County,1,41.2
Grant County,2,41.2
Grant County,3,41.2
Grant County,4,41.6
Greene County,1,38.4
Greene County,2,38.4
Greene County,3,38.3
Greene County,4,38.4
Hempstead County,1,39.7
Hempstead County,2,39.7
Hempstead County,3,39.8
Hempstead County,4,40.0
Hot Spring County,1,42.2
Hot Spring County,2,42.3
Hot Spring County,3,42.6
Hot Spring County,4,42.7
Howard County,1,38.4
Howard County,2,38.5
Howard County,3,38.6
Howard County,4,39.0
Independence County,1,39.0
Independence County,2,39.0
Independence County,3,39.3
Independence County,4,39.4
Izard County,1,48.0
Izard County,2,48.0
Izard County,3,47.3
Izard County,4,47.2
Jackson County,1,40.3
Jackson County,2,40.2
Jackson County,3,40.0
Jackson County,4,39.7
Jefferson County,1,39.4
Jefferson County,2,39.5
Jefferson County,3,39.6
Jefferson County,4,39.7
Johnson County,1,38.3
Johnson County,2,38.4
Johnson County,3,38.5
Johnson County,4,38.7
Lafayette County,1,48.2
Lafayette County,2,48.2
Lafayette County,3,48.5
Lafayette County,4,47.8
Lawrence County,1,40.3
Lawrence County,2,40.3
Lawrence County,3,40.0
Lawrence County,4,40.2
Lee County,1,42.1
Lee County,2,42.2
Lee County,3,41.4
Lee County,4,40.8
Lincoln County,1,38.9
Lincoln County,2,38.8
Lincoln County,3,38.8
Lincoln County,4,38.8
Little River County,1,43.1
Little River County,2,43.2
Little River County,3,42.9
Little River County,4,43.3
Logan County,1,44.0
Logan County,2,44.1
Logan County,3,44.1
Logan County,4,44.3
Lonoke County,1,37.0
Lonoke County,2,37.1
Lonoke County,3,37.1
Lonoke County,4,37.5
Madison County,1,41.9
Madison County,2,42.0
Madison County,3,41.6
Madison County,4,41.0
Marion County,1,51.8
Marion County,2,51.7
Marion County,3,51.8
Marion County,4,51.7
Miller County,1,39.0
Miller County,2,39.0
Miller County,3,39.1
Miller County,4,39.0
Mississippi County,1,36.5
Mississippi County,2,36.5
Mississippi County,3,36.8
Mississippi County,4,36.9
Monroe County,1,46.1
Monroe County,2,46.2
Monroe County,3,46.4
Monroe County,4,45.4
Montgomery County,1,51.1
Montgomery County,2,51.1
Montgomery County,3,50.6
Montgomery County,4,51.1
Nevada County,1,43.3
Nevada County,2,43.4
Nevada County,3,43.5
Nevada County,4,43.4
Newton County,1,49.2
Newton County,2,49.2
Newton County,3,49.1
Newton County,4,48.9
Ouachita County,1,43.0
Ouachita County,2,43.0
Ouachita County,3,42.8
Ouachita County,4,42.8
Perry County,1,44.0
Perry County,2,44.1
Perry County,3,44.4
Perry County,4,44.4
Phillips County,1,39.7
Phillips County,2,39.7
Phillips County,3,40.5
Phillips County,4,40.8
Pike County,1,43.4
Pike County,2,43.4
Pike County,3,43.5
Pike County,4,43.2
Poinsett County,1,40.2
Poinsett County,2,40.2
Poinsett County,3,40.0
Poinsett County,4,39.7
Polk County,1,44.4
Polk County,2,44.5
Polk County,3,44.2
Polk County,4,44.4
Pope County,1,36.6
Pope County,2,36.6
Pope County,3,36.7
Pope County,4,36.9
Prairie County,1,46.2
Prairie County,2,46.2
Prairie County,3,46.4
Prairie County,4,45.8
Pulaski County,1,37.6
Pulaski County,2,37.7
Pulaski County,3,37.8
Pulaski County,4,37.9
Randolph County,1,40.0
Randolph County,2,40.0
Randolph County,3,39.7
Randolph County,4,39.3
St. Francis County,1,39.1
St. Francis County,2,39.1
St. Francis County,3,39.1
St. Francis County,4,39.3
Saline County,1,40.1
Saline County,2,40.1
Saline County,3,40.3
Saline County,4,40.4
Scott County,1,42.6
Scott County,2,42.5
Scott County,3,42.7
Scott County,4,42.8
Searcy County,1,48.1
Searcy County,2,48.1
Searcy County,3,48.3
Searcy County,4,48.5
Sebastian County,1,38.1
Sebastian County,2,38.2
Sebastian County,3,38.1
Sebastian County,4,38.0
Sevier County,1,34.8
Sevier County,2,35.0
Sevier County,3,35.1
Sevier County,4,35.0
Sharp County,1,47.6
Sharp County,2,47.6
Sharp County,3,46.9
Sharp County,4,47.0
Stone County,1,49.4
Stone County,2,49.2
Stone County,3,48.9
Stone County,4,48.7
Union County,1,40.3
Union County,2,40.4
Union County,3,40.5
Union County,4,40.7
Van Buren County,1,49.0
Van Buren County,2,49.0
Van Buren County,3,49.4
Van Buren County,4,49.4
Washington County,1,32.4
Washington County,2,32.5
Washington County,3,32.5
Washington County,4,32.7
White County,1,38.2
White County,2,38.2
White County,3,38.3
White County,4,38.5
Woodruff County,1,45.4
Woodruff County,2,45.6
Woodruff County,3,45.4
Woodruff County,4,45.3
Yell County,1,40.2
Yell County,2,40.3
Yell County,3,40.2
Yell County,4,40.3
Alameda County,1,38.2
Alameda County,2,38.3
Alameda County,3,39.0
Alameda County,4,39.3
Alpine County,1,48.4
Alpine County,2,48.2
Alpine County,3,47.6
Alpine County,4,47.1
Amador County,1,50.0
Amador County,2,50.0
Amador County,3,49.7
Amador County,4,49.6
Butte County,1,36.5
Butte County,2,36.5
Butte County,3,36.9
Butte County,4,36.5
Calaveras County,1,51.9
Calaveras County,2,52.0
Calaveras County,3,51.4
Calaveras County,4,51.1
Colusa County,1,35.4
Colusa County,2,35.5
Colusa County,3,36.0
Colusa County,4,36.2
Contra Costa County,1,40.0
Contra Costa County,2,40.1
Contra Costa County,3,40.4
Contra Costa County,4,40.7
Del Norte County,1,40.4
Del Norte County,2,40.6
Del Norte County,3,40.5
Del Norte County,4,41.2
El Dorado County,1,46.3
El Dorado County,2,46.4
El Dorado County,3,46.0
El Dorado County,4,46.2
Fresno County,1,32.8
Fresno County,2,32.9
Fresno County,3,33.1
Fresno County,4,33.3
Glenn County,1,35.9
Glenn County,2,35.9
Glenn County,3,36.3
Glenn County,4,36.4
Humboldt County,1,39.0
Humboldt County,2,39.1
Humboldt County,3,39.8
Humboldt County,4,39.9
Imperial County,1,32.6
Imperial County,2,32.7
Imperial County,3,32.8
Imperial County,4,33.0
Inyo County,1,44.7
Inyo County,2,44.7
Inyo County,3,44.6
Inyo County,4,44.7
Kern County,1,32.1
Kern County,2,32.1
Kern County,3,32.3
Kern County,4,32.5
Kings County,1,32.2
Kings County,2,32.3
Kings County,3,32.3
Kings County,4,32.6
Lake County,1,44.6
Lake County,2,44.6
Lake County,3,44.0
Lake County,4,43.9
Lassen County,1,37.6
Lassen County,2,37.6
Lassen County,3,37.7
Lassen County,4,38.4
Los Angeles County,1,37.3
Los Angeles County,2,37.4
Los Angeles County,3,37.9
Los Angeles County,4,38.2
Madera County,1,34.5
Madera County,2,34.6
Madera County,3,34.6
Madera County,4,34.7
Marin County,1,47.4
Marin County,2,47.5
Marin County,3,47.7
Marin County,4,48.2
Mariposa County,1,52.0
Mariposa County,2,51.9
Mariposa County,3,51.5
Mariposa County,4,51.0
Mendocino County,1,43.6
Mendocino County,2,43.7
Mendocino County,3,43.8
Mendocino County,4,44.2
Merced County,1,31.4
Merced County,2,31.5
Merced County,3,31.9
Merced County,4,31.9
Modoc County,1,49.4
Modoc County,2,49.6
Modoc County,3,50.6
Modoc County,4,50.8
Mono County,1,41.0
Mono County,2,41.0
Mono County,3,41.4
Mono County,4,42.0
Monterey County,1,34.9
Monterey County,2,35.0
Monterey County,3,35.4
Monterey County,4,35.7
Napa County,1,42.3
Napa County,2,42.4
Napa County,3,42.6
Napa County,4,42.9
Nevada County,1,50.5
Nevada County,2,50.5
Nevada County,3,50.1
Nevada County,4,50.3
Orange County,1,38.6
Orange County,2,38.7
Orange County,3,39.1
Orange County,4,39.4
Placer County,1,42.2
Placer County,2,42.2
Placer County,3,42.3
Placer County,4,42.4
Plumas County,1,52.5
Plumas County,2,52.6
Plumas County,3,52.5
Plumas County,4,53.2
Riverside County,1,36.3
Riverside County,2,36.4
Riverside County,3,36.6
Riverside County,4,36.8
Sacramento County,1,36.8
Sacramento County,2,36.8
Sacramento County,3,37.1
Sacramento County,4,37.4
San Benito County,1,36.1
San Benito County,2,36.2
San Benito County,3,36.2
San Benito County,4,36.5
San Bernardino County,1,33.9
San Bernardino County,2,33.9
San Bernardino County,3,34.1
San Bernardino County,4,34.4
San Diego County,1,36.5
San Diego County,2,36.6
San Diego County,3,37.0
San Diego County,4,37.2
San Francisco County,1,38.7
San Francisco County,2,38.8
San Francisco County,3,40.5
San Francisco County,4,40.5
San Joaquin County,1,34.7
San Joaquin County,2,34.8
San Joaquin County,3,35.0
San Joaquin County,4,35.3
San Luis Obispo County,1,40.0
San Luis Obispo County,2,40.1
San Luis Obispo County,3,40.7
San Luis Obispo County,4,40.6
San Mateo County,1,40.0
San Mateo County,2,40.1
San Mateo County,3,40.9
San Mateo County,4,41.3
Santa Barbara County,1,34.1
Santa Barbara County,2,34.1
Santa Barbara County,3,35.1
Santa Barbara County,4,34.5
Santa Clara County,1,37.4
Santa Clara County,2,37.5
Santa Clara County,3,38.1
Santa Clara County,4,38.2
Santa Cruz County,1,38.8
Santa Cruz County,2,38.9
Santa Cruz County,3,40.4
Santa Cruz County,4,39.7
Shasta County,1,41.5
Shasta County,2,41.5
Shasta County,3,41.4
Shasta County,4,41.4
Sierra County,1,53.7
Sierra County,2,53.5
Sierra County,3,53.1
Sierra County,4,53.7
Siskiyou County,1,47.5
Siskiyou County,2,47.5
Siskiyou County,3,47.4
Siskiyou County,4,47.4
Solano County,1,38.5
Solano County,2,38.5
Solano County,3,38.8
Solano County,4,39.1
Sonoma County,1,42.6
Sonoma County,2,42.7
Sonoma County,3,43.1
Sonoma County,4,43.3
Stanislaus County,1,34.4
Stanislaus County,2,34.5
Stanislaus County,3,34.6
Stanislaus County,4,34.8
Sutter County,1,36.3
Sutter County,2,36.4
Sutter County,3,36.6
Sutter County,4,36.8
Tehama County,1,40.5
Tehama County,2,40.5
