CTYNAME,MEDIAN_AGE_TOT
Harrison,42.8
Jackson,43.9
Jefferson,41.9
Kanawha,43.6
Lewis,43.6
Lincoln,44.2
Logan,44.5
McDowell,46.2
Marion,40.5
Marshall,46.6
Mason,44.5
Mercer,43.2
Mineral,44.4
Mingo,43.9
Monongalia,32.5
Monroe,47.6
Morgan,49.5
Nicholas,46.1
Ohio,43.0
Pendleton,50.4
Pleasants,43.4
Pocahontas,49.8
Preston,43.1
Putnam,43.0
Raleigh,42.8
Randolph,44.2
Ritchie,47.2
Roane,46.5
Summers,49.5
Taylor,44.4
Tucker,51.8
Tyler,48.4
Upshur,42.7
Wayne,44.8
Webster,48.6
Wetzel,45.7
Wirt,45.9
Wood,43.8
Wyoming,45.7
Adams,55.7
Ashland,43.1
Barron,45.2
Bayfield,54.2
Brown,38.4
Buffalo,46.7
Burnett,55.7
Calumet,42.0
Chippewa,42.0
Clark,37.3
Columbia,43.0
Crawford,46.9
Dane,35.9
Dodge,43.0
Door,54.4
Douglas,42.9
Dunn,36.1
Eau Claire,35.8
Florence,55.9
Fond du Lac,42.0
Forest,49.2
Grant,37.0
Green,44.1
Green Lake,45.9
Iowa,43.6
Iron,55.8
Jackson,42.8
Jefferson,42.0
Juneau,45.7
Kenosha,39.5
Kewaunee,44.9
La Crosse,37.1
Lafayette,41.6
Langlade,49.2
Lincoln,49.4
Manitowoc,45.4
Marathon,41.4
Marinette,49.1
Marquette,50.6
Menominee,31.9
Milwaukee,35.5
Monroe,40.3
Oconto,47.3
Oneida,52.6
Outagamie,39.2
Ozaukee,43.8
Pepin,45.7
Pierce,38.5
Polk,46.8
Portage,38.2
Price,52.8
Racine,40.7
Richland,46.6
Rock,40.5
Rusk,49.1
St. Croix,40.6
Sauk,42.0
Sawyer,51.9
Shawano,45.3
Sheboygan,41.9
Taylor,44.5
Trempealeau,41.1
Vernon,42.1
Vilas,56.2
Walworth,41.6
Washburn,52.7
Washington,44.0
Waukesha,43.5
Waupaca,45.4
Waushara,50.3
Winnebago,39.1
Wood,43.9
Albany,28.0
Big Horn,41.8
Campbell,36.3
Carbon,39.7
Converse,40.3
Crook,43.8
Fremont,39.9
Goshen,43.4
Hot Springs,49.1
Johnson,47.2
Laramie,38.2
Lincoln,41.6
Natrona,38.5
Niobrara,44.3
Park,44.7
Platte,47.8
Sheridan,43.5
Sublette,44.7
Sweetwater,37.7
Teton,41.0
Uinta,38.0
Washakie,44.8
Weston,44.5
