CTYNAME,MEDIAN_AGE_TOT
Rockdale,39.3
Schley,42.1
Screven,43.7
Seminole,46.7
Spalding,39.0
Stephens,41.7
Stewart,35.6
Sumter,36.6
Talbot,50.7
Taliaferro,49.5
Tattnall,37.8
Taylor,45.0
Telfair,41.3
Terrell,41.4
Thomas,40.3
Tift,36.6
Toombs,36.6
Towns,57.6
Treutlen,38.9
Troup,37.5
Turner,39.0
Twiggs,48.4
Union,56.2
Upson,40.7
Walker,41.7
Walton,39.4
Ware,37.7
Warren,44.9
Washington,40.3
Wayne,37.9
Webster,48.9
Wheeler,39.4
White,45.5
Whitfield,36.6
Wilcox,41.7
Wilkes,45.5
Wilkinson,42.9
Worth,42.2
Hawaii,43.5
Honolulu,39.6
Kalawao,56.3
Kauai,43.1
Maui,42.9
Ada,38.7
Adams,53.3
Bannock,35.1
Bear Lake,39.7
Benewah,45.1
Bingham,34.7
Blaine,45.9
Boise,53.0
Bonner,48.2
Bonneville,33.5
Boundary,43.6
Butte,45.2
Camas,46.4
Canyon,34.9
Caribou,37.7
Cassia,32.9
Clark,39.2
Clearwater,52.1
Custer,52.1
Elmore,33.5
Franklin,34.0
Fremont,39.7
Gem,43.9
Gooding,38.3
Idaho,49.4
Jefferson,32.7
Jerome,34.1
Kootenai,40.9
Latah,30.9
Lemhi,52.3
Lewis,47.5
Lincoln,36.2
Madison,20.9
Minidoka,34.9
Nez Perce,41.3
Oneida,40.3
Owyhee,39.0
Payette,39.4
Power,34.5
Shoshone,44.7
Teton,40.7
Twin Falls,36.3
Valley,49.2
Washington,44.9
Adams,41.4
Alexander,47.5
Bond,40.0
Boone,40.2
Brown,38.2
Bureau,44.4
Calhoun,48.3
Carroll,45.6
Cass,40.2
Champaign,31.1
Christian,43.1
Clark,42.4
Clay,42.4
Clinton,41.2
Coles,37.6
Cook,38.2
Crawford,42.1
Cumberland,43.1
DeKalb,32.4
De Witt,43.3
Douglas,39.1
DuPage,40.4
Edgar,46.0
Edwards,44.4
Effingham,39.9
Fayette,40.9
Ford,41.2
Franklin,43.2
Fulton,43.5
Gallatin,46.4
Greene,44.1
Grundy,38.8
Hamilton,42.7
Hancock,45.4
Hardin,50.0
Henderson,50.7
Henry,43.6
Iroquois,44.2
Jackson,32.3
Jasper,43.4
Jefferson,41.4
Jersey,43.5
Jo Daviess,51.6
Johnson,42.1
Kane,39.0
Kankakee,39.1
Kendall,36.3
Knox,42.7
Lake,39.4
LaSalle,42.2
Lawrence,41.0
Lee,43.5
Livingston,41.4
Logan,40.7
McDonough,35.3
McHenry,40.8
McLean,34.3
Macon,41.2
Macoupin,44.2
Madison,40.5
Marion,41.4
Marshall,45.8
Mason,45.1
Massac,44.8
Menard,43.8
Mercer,44.4
Monroe,43.2
Montgomery,42.7
Morgan,42.4
Moultrie,40.2
Ogle,42.2
Peoria,38.4
Perry,41.8
Piatt,43.1
Pike,42.2
Pope,56.3
Pulaski,44.3
Putnam,46.7
Randolph,42.8
Richland,42.5
Rock Island,40.6
St. Clair,39.6
Saline,43.9
Sangamon,41.2
Schuyler,46.5
Scott,44.8
Shelby,45.2
Stark,44.4
Stephenson,45.4
Tazewell,41.8
Union,44.7
Vermilion,41.0
Wabash,43.5
Warren,40.0
Washington,44.3
Wayne,43.3
White,44.4
Whiteside,43.1
Will,39.1
Williamson,42.0
Winnebago,39.7
Woodford,41.0
Adams,33.5
Allen,36.1
Bartholomew,37.9
Benton,40.1
Blackford,43.4
Boone,38.6
Brown,51.4
Carroll,43.0
Cass,41.4
Clark,39.7
Clay,41.2
Clinton,37.6
Crawford,45.5
Daviess,34.6
Dearborn,42.7
Decatur,39.8
DeKalb,39.2
Delaware,35.6
Dubois,40.9
Elkhart,35.8
Fayette,42.8
Floyd,40.2
Fountain,42.9
Franklin,42.6
